variable,lower,median,upper,distribution,label,Description
n_years,30,NA,30,const,Period of consideration,Period of consideration (years) 
var_CV,5,NA,25,posnorm,Covariance (%),Covariance (%) 
discount_rate,2,NA,5,posnorm,Discount rate (%),Discount rate (%) 
production_area,10,NA,10,const,Production area,Production area (ha) 
area,5,NA,50,posnorm,Area for agroforestry system,Area for agroforestry system (ha) 
AF_planning_costs,200,NA,1000,posnorm,Planning costs AF (base),Planning costs AF (base) (EUR) 
AF_area_on_AF_planning_costs,10,NA,100,posnorm,Planning costs AF (area-based),Planning costs AF (area-based) (EUR/ha) 
seedling_price_poplar_0.2m,0.15,NA,0.2908,posnorm,Price of cuttings 0.2 m poplar,Price of cuttings 0.2 m poplar (EUR/tree) 
seedlings_ha_poplar_10_20Y,2500,NA,3333,posnorm,Planting density KU 10 to 20 years poplar,Planting density KU 10 to 20 years poplar (Trees/ha) 
planting_costs_ha_mechanical,340,NA,800,posnorm,Planting price KU (mechanical),Planting price KU (mechanical) (EUR/ha) 
tillage_costs_ha,59,NA,114,posnorm,Soil preparation,Soil preparation (EUR/ha) 
tillage_planting_preparation_costs_ha,20,NA,49,posnorm,Seedbed preparation,Seedbed preparation (EUR/ha) 
weed_control_costs_ha,36,NA,60,posnorm,Weed control,Weed control (EUR/ha) 
agroforestry_area_percentage,0.05,NA,0.25,tnorm_0_1,AF area share,AF area share (%) 
fence_construction_costs_ha,650,NA,1500,posnorm,Cost of fencing work,Cost of fencing work (EUR/ha) 
tree_upkeep_costs_ha_1stY,44,NA,179,posnorm,Maintenance costs KU year 1,Maintenance costs KU year 1 (EUR/ha) 
tree_upkeep_costs_ha_after_1stY,5,NA,10,posnorm,Maintenance costs KU after year 1,Maintenance costs KU after year 1 (EUR/ha) 
reconversion_cost_ha,269,NA,2550,posnorm,Reversion,Reversion (EUR/ha) 
yield_poplar_MS_taDM_ha_a,6,NA,12,posnorm,Yield KU poplar MS,Yield KU poplar MS (tons of dry matter ha/yr (taDM/ha*a)) 
harvest_interval,10,NA,10,const,Harvest interval,Harvest interval (years) 
cutting_costs_taDM,20,NA,30,posnorm,Cost of felling,Cost of felling (EUR/ton) 
chopping_costs_taDM,25,NA,35,posnorm,Cost of chipping,Cost of chipping (EUR/ton) 
residual_moisture,0.1,NA,0.3,posnorm,Residual moisture 35%,Residual moisture %
storage_costs_taDM,20,NA,35,posnorm,Storage cost until residual moisture 35%,Storage cost until residual moisture 35% (EUR/ton) 
wood_chips_price_t,74,NA,119,posnorm,Price of wood chips KU 35% residual moisture,Price of wood chips KU 35% residual moisture (EUR/ha) 
agroforestry_subsidies_ha,200,NA,200,const,Agroforestry subsidy,Agroforestry subsidy (EUR/ha) 
land_lease_price_ha,180,NA,620,posnorm,Lease prices,Lease prices (EUR/ha) 
seed_costs_ha,45,NA,75,posnorm,Seed,Seed (EUR/ha) 
fertilizer_costs_ha,72,NA,145,posnorm,Fertilizer,Fertilizer (EUR/ha) 
pesticide_cost_ha,21,NA,44,posnorm,Plant protection products,Plant protection products (EUR/ha) 
other_costs_field_ha,19.5,NA,25.6,posnorm,Other costs feed production,Other costs feed production (EUR/ton) 
veterinary_costs_t_milk,11.5,NA,16.2,posnorm,Increase in veterinary costs due to heat stress,Increase in veterinary costs due to heat stress (EUR/ton) 
insemination_costs_t_milk,5.2,NA,6.6,posnorm,Insemination,Insemination (EUR/ton) 
other_costs_milk_t_milk,12.5,NA,17,posnorm,Other costs milk production,Other costs milk production (EUR/ton) 
animal_purchase_costs_t_milk,3.5,NA,13,posnorm,Purchase of livestock,Purchase of livestock (EUR/ton) 
feed_purchase_costs_t_milk,85,NA,95,posnorm,Purchase of feed,Purchase of feed (EUR/ton) 
energy_water_costs_t_milk,13,NA,20.6,posnorm,"Heating, electricity, and water","Heating, electricity, and water (EUR/ton) "
building_upkeep_costs_t_milk,4.9,NA,10.5,posnorm,Maintenance of buildings,Maintenance of buildings (EUR/ha) 
labor_costs_ha,166,NA,205,posnorm,Personnel costs,Personnel costs (%) 
contractor_machinery_rent_costs_ha,202,NA,280,posnorm,Contract labor and machine rental,Contract labor and machine rental (EUR/ha) 
fuels_lubricants_costs_ha,131,NA,222,posnorm,Fuel and lubricants,Fuel and lubricants (EUR/ha) 
machinery_upkeep_costs_ha,125,NA,230,posnorm,Maintenance of machinery,Maintenance of machinery (EUR/ha) 
insurances_costs_ha,79,NA,139,posnorm,Operational insurance,Operational insurance (EUR/ha) 
other_costs_operation_ha,400,NA,612,posnorm,Other operational costs,Other operational costs (EUR/ha) 
depreciation_ha,422,NA,553,posnorm,Depreciation,Depreciation (Cows/ha) 
cows_ha,0.9,NA,1.3,posnorm,Cows per hectare,Cows per hectare (tons/cow/year) 
milk_production_t_cow_a,7,NA,11.5,posnorm,Milk yield per cow,Milk yield per cow (%) 
milk_loss_incl_production_perc,0.02,NA,0.05,tnorm_0_1,Milk loss,Milk loss (%) 
milk_production_grazing_perc,0.2,NA,0.25,posnorm,Share of milk yield from grazing,Share of milk yield from grazing (EUR/ton) 
milk_price_t,320,NA,550,posnorm,Milk price,Milk price (EUR/ton) 
other_animal_products_t_milk,44.4,NA,51.4,posnorm,Other animal products,Other animal products (EUR/ha) 
basic_subsidies_ha,158,NA,158,const,Income basis,Income basis (%) 
drought_chance,0.1,NA,0.3,tnorm_0_1,Drought probability,Drought probability (%) 
drought_effect,0.5,NA,0.8,tnorm_0_1,Relative yield during drought,Relative yield during drought (%) 
drought_effect_milk_production,0.7,NA,0.85,tnorm_0_1,Relative milk yield during drought without AF,Relative milk yield during drought without AF (%) 
AF_on_drought_effect_milk_production,0.02,NA,0.25,tnorm_0_1,Relative milk yield during drought AF,Relative milk yield during drought AF (%) 
drought_effect_poplar_production,0.6,NA,0.8,tnorm_0_1,Relative poplar yield during drought AF,Relative poplar yield during drought AF (%) 
drought_effect_poplar_died_chance_1stY,0.1,NA,0.3,tnorm_0_1,Probability of poplar dying year 1,Probability of poplar dying year 1 (%) 
drought_effect_poplar_died_chance_after_1stY,0.1,NA,0.5,tnorm_0_1,Probability of poplar dying after year 1,Probability of poplar dying after year 1 (%) 
drought_effect_poplar_died_perc_1stY,0.01,NA,0.1,tnorm_0_1,Share of poplar dying year 1,Share of poplar dying year 1 (%) 
drought_effect_poplar_died_perc_after_1stY,0.05,NA,0.3,tnorm_0_1,Share of poplar dying after year 1,Share of poplar dying after year 1 (%) 
drought_effect_poplar_died_yield_effect_perc,0.2,NA,0.4,tnorm_0_1,Factor of yield loss due to share of poplar dying,Factor of yield loss due to share of poplar dying (%) 
drought_effect_seed_costs_next_year,0.1,NA,0.4,tnorm_0_1,Increase in seed costs after a drought,Increase in seed costs after a drought (%) 
heat_stress_days_25GC_2025,2,NA,11,norm,Heat stress days in 2023-2027 25GC,Heat stress days in 2023-2027 25GC (days/yr at this temp) From CMIP 6
heat_stress_days_26GC_2025,1,NA,9,norm,Heat stress days in 2023-2027 26GC,Heat stress days in 2023-2027 26GC (days/yr at this temp) From CMIP 6
heat_stress_days_27GC_2025,1,NA,8,norm,Heat stress days in 2023-2027 27GC,Heat stress days in 2023-2027 27GC (days/yr at this temp) From CMIP 6
heat_stress_days_28GC_2025,0,NA,7,norm,Heat stress days in 2023-2027 28GC,Heat stress days in 2023-2027 28GC (days/yr at this temp) From CMIP 6
heat_stress_days_29GC_2025,0,NA,5,norm,Heat stress days in 2023-2027 29GC,Heat stress days in 2023-2027 29GC (days/yr at this temp) From CMIP 6
heat_stress_days_30GC_2025,0,NA,4,norm,Heat stress days in 2023-2027 30GC,Heat stress days in 2023-2027 30GC (days/yr at this temp) From CMIP 6
heat_stress_days_31GC_2025,0,NA,3,norm,Heat stress days in 2023-2027 31GC,Heat stress days in 2023-2027 31GC (days/yr at this temp) From CMIP 6
heat_stress_days_32GC_2025,0,NA,3,norm,Heat stress days in 2023-2027 32GC,Heat stress days in 2023-2027 32GC (days/yr at this temp) From CMIP 6
heat_stress_days_33GC_2025,0,NA,2,norm,Heat stress days in 2023-2027 33GC,Heat stress days in 2023-2027 33GC (days/yr at this temp) From CMIP 6
heat_stress_days_34GC_2025,0,NA,1,norm,Heat stress days in 2023-2027 34GC,Heat stress days in 2023-2027 34GC (days/yr at this temp) From CMIP 6
heat_stress_days_35GC_2025,0,NA,1,norm,Heat stress days in 2023-2027 35GC,Heat stress days in 2023-2027 35GC (days/yr at this temp) From CMIP 6
heat_stress_days_36GC_2025,0,NA,1,norm,Heat stress days in 2023-2027 36GC,Heat stress days in 2023-2027 36GC (days/yr at this temp) From CMIP 6
heat_stress_days_25GC_2030,2,NA,12,norm,Heat stress days in 2028-2032 25GC,Heat stress days in 2028-2032 25GC (days/yr at this temp) From CMIP 6
heat_stress_days_26GC_2030,2,NA,9,norm,Heat stress days in 2028-2032 26GC,Heat stress days in 2028-2032 26GC (days/yr at this temp) From CMIP 6
heat_stress_days_27GC_2030,1,NA,8,norm,Heat stress days in 2028-2032 27GC,Heat stress days in 2028-2032 27GC (days/yr at this temp) From CMIP 6
heat_stress_days_28GC_2030,0,NA,7,norm,Heat stress days in 2028-2032 28GC,Heat stress days in 2028-2032 28GC (days/yr at this temp) From CMIP 6
heat_stress_days_29GC_2030,0,NA,6,norm,Heat stress days in 2028-2032 29GC,Heat stress days in 2028-2032 29GC (days/yr at this temp) From CMIP 6
heat_stress_days_30GC_2030,0,NA,4,norm,Heat stress days in 2028-2032 30GC,Heat stress days in 2028-2032 30GC (days/yr at this temp) From CMIP 6
heat_stress_days_31GC_2030,0,NA,3,norm,Heat stress days in 2028-2032 31GC,Heat stress days in 2028-2032 31GC (days/yr at this temp) From CMIP 6
heat_stress_days_32GC_2030,0,NA,2,norm,Heat stress days in 2028-2032 32GC,Heat stress days in 2028-2032 32GC (days/yr at this temp) From CMIP 6
heat_stress_days_33GC_2030,0,NA,2,norm,Heat stress days in 2028-2032 33GC,Heat stress days in 2028-2032 33GC (days/yr at this temp) From CMIP 6
heat_stress_days_34GC_2030,0,NA,1,norm,Heat stress days in 2028-2032 34GC,Heat stress days in 2028-2032 34GC (days/yr at this temp) From CMIP 6
heat_stress_days_35GC_2030,0,NA,1,norm,Heat stress days in 2028-2032 35GC,Heat stress days in 2028-2032 35GC (days/yr at this temp) From CMIP 6
heat_stress_days_36GC_2030,0,NA,1,norm,Heat stress days in 2028-2032 36GC,Heat stress days in 2028-2032 36GC (days/yr at this temp) From CMIP 6
heat_stress_days_25GC_2035,2,NA,12,norm,Heat stress days in 2033-2037 25GC,Heat stress days in 2033-2037 25GC (days/yr at this temp) From CMIP 6
heat_stress_days_26GC_2035,2,NA,10,norm,Heat stress days in 2033-2037 26GC,Heat stress days in 2033-2037 26GC (days/yr at this temp) From CMIP 6
heat_stress_days_27GC_2035,1,NA,8,norm,Heat stress days in 2033-2037 27GC,Heat stress days in 2033-2037 27GC (days/yr at this temp) From CMIP 6
heat_stress_days_28GC_2035,1,NA,7,norm,Heat stress days in 2033-2037 28GC,Heat stress days in 2033-2037 28GC (days/yr at this temp) From CMIP 6
heat_stress_days_29GC_2035,0,NA,6,norm,Heat stress days in 2033-2037 29GC,Heat stress days in 2033-2037 29GC (days/yr at this temp) From CMIP 6
heat_stress_days_30GC_2035,0,NA,5,norm,Heat stress days in 2033-2037 30GC,Heat stress days in 2033-2037 30GC (days/yr at this temp) From CMIP 6
heat_stress_days_31GC_2035,0,NA,3,norm,Heat stress days in 2033-2037 31GC,Heat stress days in 2033-2037 31GC (days/yr at this temp) From CMIP 6
heat_stress_days_32GC_2035,0,NA,3,norm,Heat stress days in 2033-2037 32GC,Heat stress days in 2033-2037 32GC (days/yr at this temp) From CMIP 6
heat_stress_days_33GC_2035,0,NA,2,norm,Heat stress days in 2033-2037 33GC,Heat stress days in 2033-2037 33GC (days/yr at this temp) From CMIP 6
heat_stress_days_34GC_2035,0,NA,1,norm,Heat stress days in 2033-2037 34GC,Heat stress days in 2033-2037 34GC (days/yr at this temp) From CMIP 6
heat_stress_days_35GC_2035,0,NA,1,norm,Heat stress days in 2033-2037 35GC,Heat stress days in 2033-2037 35GC (days/yr at this temp) From CMIP 6
heat_stress_days_36GC_2035,0,NA,1,norm,Heat stress days in 2033-2037 36GC,Heat stress days in 2033-2037 36GC (days/yr at this temp) From CMIP 6
heat_stress_days_25GC_2040,3,NA,13,norm,Heat stress days in 2038-2042 25GC,Heat stress days in 2038-2042 25GC (days/yr at this temp) From CMIP 6
heat_stress_days_26GC_2040,2,NA,10,norm,Heat stress days in 2038-2042 26GC,Heat stress days in 2038-2042 26GC (days/yr at this temp) From CMIP 6
heat_stress_days_27GC_2040,1,NA,9,norm,Heat stress days in 2038-2042 27GC,Heat stress days in 2038-2042 27GC (days/yr at this temp) From CMIP 6
heat_stress_days_28GC_2040,1,NA,7,norm,Heat stress days in 2038-2042 28GC,Heat stress days in 2038-2042 28GC (days/yr at this temp) From CMIP 6
heat_stress_days_29GC_2040,0,NA,6,norm,Heat stress days in 2038-2042 29GC,Heat stress days in 2038-2042 29GC (days/yr at this temp) From CMIP 6
heat_stress_days_30GC_2040,0,NA,5,norm,Heat stress days in 2038-2042 30GC,Heat stress days in 2038-2042 30GC (days/yr at this temp) From CMIP 6
heat_stress_days_31GC_2040,0,NA,3,norm,Heat stress days in 2038-2042 31GC,Heat stress days in 2038-2042 31GC (days/yr at this temp) From CMIP 6
heat_stress_days_32GC_2040,0,NA,3,norm,Heat stress days in 2038-2042 32GC,Heat stress days in 2038-2042 32GC (days/yr at this temp) From CMIP 6
heat_stress_days_33GC_2040,0,NA,2,norm,Heat stress days in 2038-2042 33GC,Heat stress days in 2038-2042 33GC (days/yr at this temp) From CMIP 6
heat_stress_days_34GC_2040,0,NA,1,norm,Heat stress days in 2038-2042 34GC,Heat stress days in 2038-2042 34GC (days/yr at this temp) From CMIP 6
heat_stress_days_35GC_2040,0,NA,1,norm,Heat stress days in 2038-2042 35GC,Heat stress days in 2038-2042 35GC (days/yr at this temp) From CMIP 6
heat_stress_days_36GC_2040,0,NA,1,norm,Heat stress days in 2038-2042 36GC,Heat stress days in 2038-2042 36GC (days/yr at this temp) From CMIP 6
heat_stress_days_25GC_2045,3,NA,13,norm,Heat stress days in 2043-2047 25GC,Heat stress days in 2043-2047 25GC (days/yr at this temp) From CMIP 6
heat_stress_days_26GC_2045,2,NA,11,norm,Heat stress days in 2043-2047 26GC,Heat stress days in 2043-2047 26GC (days/yr at this temp) From CMIP 6
heat_stress_days_27GC_2045,1,NA,9,norm,Heat stress days in 2043-2047 27GC,Heat stress days in 2043-2047 27GC (days/yr at this temp) From CMIP 6
heat_stress_days_28GC_2045,1,NA,8,norm,Heat stress days in 2043-2047 28GC,Heat stress days in 2043-2047 28GC (days/yr at this temp) From CMIP 6
heat_stress_days_29GC_2045,0,NA,7,norm,Heat stress days in 2043-2047 29GC,Heat stress days in 2043-2047 29GC (days/yr at this temp) From CMIP 6
heat_stress_days_30GC_2045,0,NA,5,norm,Heat stress days in 2043-2047 30GC,Heat stress days in 2043-2047 30GC (days/yr at this temp) From CMIP 6
